make,model,year,image_url,standardPrice,engine,fuelType,body
Peugeot,2008,2023,,8000,1.2,Petrol,SUV
Renault,Megane,2021,,60000,1.5,Diesel,5DR
Honda,HR-V,2022,,53000,1.5,Hybrid,SUV
Suzuki,Swift,2021,,25000,1.2,Hybrid,5DR
Seat,Arona,2022,,44000,1.0,Petrol,SUV
Citroen,C5 Aircross,2021,,16000,1.5,Diesel,SUV
Nissan,Leaf,2020,,28000,Electric,Electric,5DR
Kia,Niro,2022,,13000,1.6,Hybrid,SUV
Hyundai,Kona,2021,,38000,Electric,Electric,SUV
Ford,Puma,2023,,27000,1.0,Hybrid,SUV
Volkswagen,ID.3,2022,,51000,Electric,Electric,5DR
Opel,Mokka,2021,,57000,1.2,Petrol,SUV
Skoda,Scala,2020,,59000,1.0,Petrol,5DR
Toyota,C-HR,2022,,6000,1.8,Hybrid,SUV
Mercedes,EQB,2023,,18000,Electric,Electric,SUV
BMW,iX1,2023,,16000,Electric,Electric,SUV
Audi,e-tron,2021,,70000,Electric,Electric,SUV
MG,ZS EV,2022,,17000,Electric,Electric,SUV
Cupra,Formentor,2022,,61000,1.5,Petrol,SUV
Tesla,Model 3,2022,,47000,Electric,Electric,4DR
Jeep,Compass,2020,,37000,1.3,Petrol,SUV
Subaru,Impreza,2019,,9000,2.0,Petrol,5DR
Dacia,Duster,2021,,70000,1.5,Diesel,SUV
Alfa Romeo,Giulia,2022,,42000,2.0,Petrol,4DR
Mini,Cooper,2020,,57000,1.5,Petrol,3DR
Lexus,UX,2021,,32000,2.0,Hybrid,SUV
Fiat,500X,2019,,6000,1.0,Petrol,SUV
Mazda,Mazda3,2020,,55000,2.0,Petrol,5DR
Jaguar,E-PACE,2022,,49000,2.0,Diesel,SUV
Audi,A4,2016,,39000,1.4,Petrol,4DR
Audi,Q5,2014,,20000,2.0,Diesel,5DR
BMW,3 Series,2018,,7000,2.0,Diesel,4DR
Mercedes,C-Class,2019,,6000,1.5,Petrol,4DR
Volkswagen,Golf,2019,,21000,1.6,Diesel,5DR
Toyota,Corolla,2021,,61000,1.8,Hybrid,5DR
Ford,Focus,2018,,35000,1.0,Petrol,5DR
Hyundai,Tucson,2020,,20000,1.6,Diesel,SUV
Nissan,Qashqai,2017,,64000,1.5,Diesel,SUV
Skoda,Octavia,2019,,52000,1.0,Petrol,5DR
Opel,Astra,2017,,47000,1.4,Petrol,5DR
Kia,Sportage,2018,,38000,1.7,Diesel,SUV
Volvo,XC60,2015,,18000,2.4,Diesel,SUV
Renault,Clio,2020,,11000,1.0,Petrol,5DR
Peugeot,308,2016,,23000,1.2,Petrol,5DR
Mazda,CX-5,2019,,27000,2.2,Diesel,SUV
Citroen,C3,2018,,31000,1.2,Petrol,5DR
Seat,Leon,2017,,29000,1.6,Diesel,5DR
Honda,Civic,2015,,61000,1.8,Petrol,5DR
Suzuki,Vitara,2020,,26000,1.4,Petrol,SUV
Audi,A3,2019,,8000,1.0,Petrol,5DR
BMW,5 Series,2017,,37000,2.0,Diesel,4DR
Mercedes,A-Class,2021,,6000,1.3,Petrol,5DR
Volkswagen,Tiguan,2018,,35000,2.0,Diesel,SUV
Toyota,RAV4,2019,,14000,2.5,Hybrid,SUV
Ford,Kuga,2020,,33000,1.5,Petrol,SUV
Hyundai,i30,2016,,43000,1.4,Petrol,5DR
Nissan,Juke,2021,,47000,1.0,Petrol,SUV
Skoda,Kodiaq,2019,,22000,2.0,Diesel,SUV
Opel,Corsa,2020,,41000,1.2,Petrol,5DR
Audi,Q3,2022,,24000,1.5,Petrol,SUV
BMW,X1,2021,,70000,2.0,Diesel,SUV
Mercedes,GLA,2020,,44000,2.0,Diesel,SUV
Toyota,Yaris,2023,,65000,1.5,Hybrid,5DR
