Car,order_date
Skoda Scala (2020),2016-06-06 10:04:06.994636
Nissan Juke (2021),2022-04-07 10:04:06.995628
BMW i4 (2022),2017-04-17 10:04:06.996614
BMW 5 Series (2017),2016-10-16 10:04:06.997627
Renault Megane (2021),2021-06-09 10:04:06.998627
Kia Sportage (2018),2023-10-18 10:04:06.998627
Hyundai i30 (2016),2023-12-09 10:04:06.999627
Ford Kuga (2020),2021-11-27 10:04:07.000628
Tesla Model 3 (2022),2022-05-15 10:04:07.001619
Mini Countryman (2022),2018-05-06 10:04:07.002617
Jaguar E-PACE (2022),2019-09-12 10:04:07.003617
Dacia Sandero (2022),2015-12-29 10:04:07.003617
Opel Astra (2017),2020-12-31 10:04:07.004617
Renault Megane (2021),2021-04-17 10:04:07.005617
Tesla Model 3 (2022),2018-12-04 10:04:07.006618
Volkswagen ID.4 (2023),2025-06-17 10:04:07.007615
Jaguar E-PACE (2022),2023-07-31 10:04:07.008638
Cupra Born (2023),2019-05-10 10:04:07.008638
Citroen C3 (2018),2016-05-09 10:04:07.009631
Dacia Sandero (2022),2020-02-09 10:04:07.010630
Opel Mokka (2021),2023-05-17 10:04:07.011627
Volkswagen ID.4 (2023),2020-03-12 10:04:07.012627
Opel Corsa (2020),2025-01-26 10:04:07.013629
Volkswagen ID.4 (2023),2019-07-16 10:04:07.013629
Jaguar F-PACE (2021),2021-10-29 10:04:07.014627
Renault Clio (2020),2024-02-23 10:04:07.015627
Toyota C-HR (2022),2019-05-16 10:04:07.016627
Volvo C40 Recharge (2023),2023-02-18 10:04:07.017627
Ford Puma (2023),2020-10-20 10:04:07.017627
Skoda Octavia (2019),2021-05-25 10:04:07.018627
Mercedes GLA (2020),2018-12-30 10:04:07.019627
Citroen C3 (2018),2020-06-14 10:04:07.020627
Fiat Panda (2020),2019-04-17 10:04:07.021614
Toyota Yaris (2023),2016-01-11 10:04:07.022629
Nissan Ariya (2023),2021-11-05 10:04:07.022629
Kia EV6 (2022),2019-01-25 10:04:07.023628
Renault Zoe (2022),2019-07-23 10:04:07.024628
Renault Clio (2020),2021-06-20 10:04:07.025627
Dacia Duster (2021),2021-04-04 10:04:07.026655
Dacia Duster (2021),2022-03-20 10:04:07.027653
Lexus UX (2021),2020-09-18 10:04:07.027653
Nissan Leaf (2020),2016-05-10 10:04:07.028744
Kia Sportage (2018),2015-12-13 10:04:07.029645
Mazda CX-5 (2019),2023-01-05 10:04:07.030735
Audi A4 (2016),2019-09-08 10:04:07.031745
Nissan Ariya (2023),2016-07-02 10:04:07.031745
Nissan Ariya (2023),2022-04-18 10:04:07.032745
Volkswagen ID.3 (2022),2024-01-06 10:04:07.033739
Mazda CX-5 (2019),2018-08-23 10:04:07.034754
Audi A4 (2016),2017-04-30 10:04:07.035748
Fiat 500e (2021),2023-05-06 10:04:07.035748
Seat Arona (2022),2021-02-08 10:04:07.036748
Nissan Qashqai (2017),2016-11-11 10:04:07.037743
Audi A3 (2019),2021-12-25 10:04:07.038748
Audi Q3 (2022),2022-06-02 10:04:07.039742
Hyundai i30 (2016),2023-12-09 10:04:07.040745
Mercedes GLA (2020),2025-02-10 10:04:07.041356
Mercedes A-Class (2021),2025-05-20 10:04:07.042470
Volvo XC60 (2015),2016-03-30 10:04:07.042470
Renault Megane (2021),2025-01-30 10:04:07.043469
Toyota RAV4 (2019),2015-12-29 10:04:07.044429
Seat Leon (2017),2015-11-26 10:04:07.045472
Opel Mokka (2021),2018-05-15 10:04:07.046367
Mercedes EQC (2022),2019-10-04 10:04:07.047466
Skoda Enyaq (2023),2024-03-25 10:04:07.047466
Tesla Model Y (2023),2021-03-17 10:04:07.048464
Audi e-tron (2021),2019-02-18 10:04:07.049473
Fiat 500e (2021),2022-12-30 10:04:07.050469
Volkswagen ID.3 (2022),2023-07-28 10:04:07.051474
Honda HR-V (2022),2023-11-12 10:04:07.051474
Suzuki Vitara (2020),2015-08-08 10:04:07.052464
Jeep Compass (2020),2017-06-27 10:04:07.053471
Renault Zoe (2022),2018-07-29 10:04:07.054463
MG ZS EV (2022),2015-08-19 10:04:07.055472
Nissan Qashqai (2017),2020-06-08 10:04:07.056468
Jaguar E-PACE (2022),2020-09-18 10:04:07.056468
Mazda Mazda3 (2020),2019-03-11 10:04:07.057467
MG ZS EV (2022),2020-12-04 10:04:07.058466
Mini Countryman (2022),2022-10-08 10:04:07.059473
Alfa Romeo Giulia (2022),2023-08-08 10:04:07.060468
Honda HR-V (2022),2018-11-05 10:04:07.061469
Toyota Yaris (2023),2023-07-07 10:04:07.061469
Skoda Enyaq (2023),2022-08-07 10:04:07.062466
Honda e (2021),2023-04-17 10:04:07.063467
Citroen C5 Aircross (2021),2017-10-17 10:04:07.064472
Peugeot 2008 (2023),2022-12-07 10:04:07.065458
Lexus NX (2023),2015-09-30 10:04:07.066467
Volvo XC40 (2022),2015-09-15 10:04:07.066467
BMW 5 Series (2017),2017-09-08 10:04:07.067468
Mercedes C-Class (2019),2016-10-19 10:04:07.068468
Honda HR-V (2022),2020-02-15 10:04:07.069467
Audi e-tron (2021),2017-03-08 10:04:07.070470
Toyota Yaris (2023),2019-12-20 10:04:07.071464
Mercedes EQC (2022),2017-11-13 10:04:07.071464
Peugeot e-208 (2023),2015-10-02 10:04:07.072463
Subaru Impreza (2019),2022-06-15 10:04:07.073467
Tesla Model Y (2023),2019-01-21 10:04:07.074468
Alfa Romeo Stelvio (2021),2021-11-26 10:04:07.075476
Peugeot e-208 (2023),2019-05-21 10:04:07.076469
Citroen C5 Aircross (2021),2024-01-24 10:04:07.077469
Ford Focus (2018),2017-01-17 10:04:07.077469
Hyundai Kona (2021),2019-02-26 10:04:07.078466
Jaguar F-PACE (2021),2018-02-04 10:04:07.079462
Dacia Sandero (2022),2021-04-19 10:04:07.080474
Tesla Model Y (2023),2017-06-18 10:04:07.081472
Nissan Qashqai (2017),2019-09-12 10:04:07.082473
Dacia Duster (2021),2019-09-22 10:04:07.082473
Fiat Panda (2020),2018-07-16 10:04:07.083468
Hyundai Tucson (2020),2021-05-04 10:04:07.084473
Dacia Sandero (2022),2023-05-03 10:04:07.085459
Renault Megane (2021),2017-02-06 10:04:07.086468
Hyundai Kona (2021),2017-09-04 10:04:07.086468
Kia EV6 (2022),2016-05-31 10:04:07.087463
Mini Cooper (2020),2023-10-20 10:04:07.088468
Hyundai Kona (2021),2024-01-25 10:04:07.089469
Tesla Model Y (2023),2018-09-26 10:04:07.090470
Jeep Renegade (2021),2022-08-18 10:04:07.091476
Ford Kuga (2020),2016-02-11 10:04:07.091476
Audi Q3 (2022),2021-04-04 10:04:07.092466
Mazda MX-30 (2022),2019-05-25 10:04:07.093471
Honda Civic (2015),2021-12-05 10:04:07.094474
Toyota C-HR (2022),2015-08-06 10:04:07.095471
Renault Zoe (2022),2018-03-09 10:04:07.096466
Nissan Leaf (2020),2024-05-03 10:04:07.096466
Renault Megane (2021),2023-04-04 10:04:07.097471
Nissan Leaf (2020),2020-10-16 10:04:07.098476
Hyundai Kona (2021),2021-03-20 10:04:07.099470
Mazda MX-30 (2022),2022-07-29 10:04:07.100467
Dacia Duster (2021),2021-05-25 10:04:07.101369
Volkswagen Tiguan (2018),2022-01-22 10:04:07.102463
Mercedes EQB (2023),2018-07-25 10:04:07.103461
Volkswagen ID.4 (2023),2024-05-06 10:04:07.103461
Volkswagen Golf (2019),2016-09-11 10:04:07.104468
Opel Astra (2017),2015-10-03 10:04:07.105452
Hyundai IONIQ 5 (2023),2017-09-26 10:04:07.106361
Renault Clio (2020),2024-03-02 10:04:07.107362
BMW 3 Series (2018),2019-11-21 10:04:07.108362
Dacia Duster (2021),2018-03-19 10:04:07.109362
MG ZS EV (2022),2016-03-03 10:04:07.110362
Toyota C-HR (2022),2017-09-25 10:04:07.110362
Tesla Model Y (2023),2018-03-01 10:04:07.111361
Audi Q3 (2022),2023-03-24 10:04:07.112362
Audi A3 (2019),2022-08-05 10:04:07.113362
MG ZS EV (2022),2017-02-02 10:04:07.114362
Peugeot e-208 (2023),2022-11-29 10:04:07.114362
Fiat 500e (2021),2018-08-23 10:04:07.115362
Audi A4 (2016),2021-08-10 10:04:07.116362
Alfa Romeo Giulia (2022),2020-01-23 10:04:07.117362
MG ZS EV (2022),2022-02-16 10:04:07.118362
Seat Leon (2017),2018-10-21 10:04:07.119361
Subaru Forester (2020),2016-02-01 10:04:07.120362
Volvo C40 Recharge (2023),2022-11-05 10:04:07.121405
Nissan Qashqai (2017),2021-05-28 10:04:07.121405
Hyundai IONIQ 5 (2023),2019-09-16 10:04:07.122465
Seat Leon (2017),2022-10-03 10:04:07.123472
Honda HR-V (2022),2020-05-15 10:04:07.124378
Audi e-tron (2021),2021-12-27 10:04:07.125468
Jeep Compass (2020),2020-12-19 10:04:07.126581
Lexus NX (2023),2015-11-06 10:04:07.126581
Audi Q5 (2014),2021-12-19 10:04:07.127583
Peugeot e-208 (2023),2017-10-03 10:04:07.129580
Ford Puma (2023),2024-02-16 10:04:07.130575
Kia Niro (2022),2024-06-14 10:04:07.131578
Cupra Formentor (2022),2017-01-04 10:04:07.131578
BMW iX1 (2023),2025-02-27 10:04:07.132575
Suzuki Swift (2021),2019-07-19 10:04:07.133581
Skoda Kodiaq (2019),2018-02-12 10:04:07.134580
Mini Countryman (2022),2017-10-04 10:04:07.135580
Alfa Romeo Giulia (2022),2023-10-31 10:04:07.136586
Ford Focus (2018),2017-03-29 10:04:07.137587
Mazda Mazda3 (2020),2018-03-30 10:04:07.138577
MG ZS EV (2022),2022-09-05 10:04:07.139523
Mini Cooper (2020),2018-01-23 10:04:07.139523
Alfa Romeo Stelvio (2021),2022-08-01 10:04:07.141129
Ford Puma (2023),2017-04-25 10:04:07.142235
Kia Niro (2022),2017-08-25 10:04:07.143237
Mercedes C-Class (2019),2022-11-17 10:04:07.143237
Skoda Kodiaq (2019),2020-02-10 10:04:07.144246
BMW i4 (2022),2019-06-05 10:04:07.145233
Hyundai IONIQ 5 (2023),2016-01-15 10:04:07.146235
Kia Sportage (2018),2015-11-02 10:04:07.147236
Dacia Duster (2021),2022-04-29 10:04:07.147236
Skoda Kodiaq (2019),2023-06-28 10:04:07.148242
Lexus NX (2023),2017-10-10 10:04:07.149246
Seat Leon (2017),2025-05-20 10:04:07.150238
Volvo XC40 (2022),2024-05-23 10:04:07.151241
Suzuki Vitara (2020),2019-09-10 10:04:07.152243
Volvo XC40 (2022),2023-11-18 10:04:07.152243
Ford Puma (2023),2023-11-30 10:04:07.153233
BMW iX1 (2023),2022-06-23 10:04:07.154240
Mazda MX-5 (2019),2017-07-04 10:04:07.155249
Mini Cooper (2020),2025-04-01 10:04:07.156239
Seat Leon (2017),2016-08-07 10:04:07.157240
Suzuki Vitara (2020),2025-03-20 10:04:07.157240
Volkswagen Tiguan (2018),2022-11-20 10:04:07.158239
Audi Q5 (2014),2025-06-18 10:04:07.159239
Kia EV6 (2022),2022-03-15 10:04:07.160240
Jeep Renegade (2021),2018-07-03 10:04:07.161237
Hyundai Kona (2021),2023-09-20 10:04:07.162235
Skoda Enyaq (2023),2019-01-08 10:04:07.162235
Kia EV6 (2022),2015-08-09 10:04:07.163239
Opel Astra (2017),2021-12-21 10:04:07.164241
Opel Astra (2017),2022-10-08 10:04:07.165242
Jeep Compass (2020),2018-02-20 10:04:07.166245
Skoda Enyaq (2023),2022-04-02 10:04:07.167238
Renault Zoe (2022),2019-11-04 10:04:07.167238
Alfa Romeo Stelvio (2021),2015-12-03 10:04:07.168241
Tesla Model Y (2023),2023-11-05 10:04:07.169195
Opel Mokka (2021),2021-06-13 10:04:07.170242
Hyundai i30 (2016),2025-01-24 10:04:07.171238
Suzuki Swift (2021),2018-03-11 10:04:07.172243
Peugeot 308 (2016),2018-08-10 10:04:07.172243
Mazda Mazda3 (2020),2023-09-22 10:04:07.173243
Renault Megane (2021),2016-05-20 10:04:07.174244
Mazda MX-5 (2019),2017-09-17 10:04:07.175241
Honda e (2021),2020-07-27 10:04:07.176242
Skoda Octavia (2019),2021-07-14 10:04:07.176242
Citroen C3 (2018),2016-01-25 10:04:07.177237
Ford Kuga (2020),2023-05-11 10:04:07.178243
Nissan Juke (2021),2022-06-19 10:04:07.179237
Nissan Qashqai (2017),2018-01-12 10:04:07.180243
Dacia Duster (2021),2017-04-18 10:04:07.181244
Mercedes A-Class (2021),2021-10-24 10:04:07.181244
Volkswagen Tiguan (2018),2017-12-19 10:04:07.182242
Seat Leon (2017),2017-05-08 10:04:07.183581
Dacia Sandero (2022),2019-03-03 10:04:07.183581
Mercedes EQC (2022),2024-12-27 10:04:07.184696
BMW X1 (2021),2022-06-24 10:04:07.185699
Lexus UX (2021),2018-05-19 10:04:07.186701
Nissan Leaf (2020),2017-11-30 10:04:07.187697
Kia EV6 (2022),2020-01-08 10:04:07.188701
Mercedes C-Class (2019),2023-01-02 10:04:07.188701
Mercedes GLA (2020),2020-07-17 10:04:07.189701
Subaru Impreza (2019),2021-07-06 10:04:07.190697
Tesla Model Y (2023),2018-10-25 10:04:07.191699
Smart EQ ForTwo (2022),2019-03-31 10:04:07.192705
BMW iX1 (2023),2016-11-29 10:04:07.193697
Nissan Qashqai (2017),2017-01-29 10:04:07.193697
Mercedes A-Class (2021),2024-05-22 10:04:07.194704
Kia EV6 (2022),2020-06-23 10:04:07.195694
Suzuki Swift (2021),2018-07-27 10:04:07.196698
Mazda Mazda3 (2020),2019-07-18 10:04:07.197695
Volkswagen Golf (2019),2025-05-25 10:04:07.197695
Kia EV6 (2022),2018-07-24 10:04:07.198707
Volvo XC60 (2015),2020-12-16 10:04:07.199701
Cupra Formentor (2022),2025-04-07 10:04:07.200708
Mercedes EQC (2022),2019-02-08 10:04:07.201701
BMW 5 Series (2017),2016-03-23 10:04:07.202703
BMW 3 Series (2018),2018-11-30 10:04:07.203699
Renault Zoe (2022),2016-06-09 10:04:07.203699
Mercedes EQC (2022),2018-11-23 10:04:07.204702
Toyota Corolla (2021),2017-12-01 10:04:07.205696
Suzuki Vitara (2020),2022-10-27 10:04:07.206702
Lexus UX (2021),2019-11-18 10:04:07.207697
Seat Arona (2022),2018-03-22 10:04:07.207697
Mercedes A-Class (2021),2023-08-24 10:04:07.208692
Hyundai IONIQ 5 (2023),2018-11-01 10:04:07.209697
Smart EQ ForTwo (2022),2021-11-19 10:04:07.210696
Alfa Romeo Giulia (2022),2017-08-30 10:04:07.211694
Audi e-tron (2021),2016-02-14 10:04:07.212697
Seat Arona (2022),2016-12-27 10:04:07.212697
Volkswagen Tiguan (2018),2024-10-15 10:04:07.213697
Jeep Renegade (2021),2021-01-30 10:04:07.214694
BMW i4 (2022),2017-05-12 10:04:07.215696
Volvo XC60 (2015),2025-03-10 10:04:07.216702
Mercedes GLA (2020),2021-04-29 10:04:07.217695
Renault Megane (2021),2023-07-21 10:04:07.217695
Ford Focus (2018),2020-09-07 10:04:07.218808
Ford Puma (2023),2015-09-17 10:04:07.219800
Opel Mokka (2021),2019-06-18 10:04:07.220800
Jaguar F-PACE (2021),2017-12-23 10:04:07.221799
Mazda MX-5 (2019),2023-07-07 10:04:07.221799
Peugeot e-208 (2023),2024-03-29 10:04:07.222801
BMW X1 (2021),2021-05-03 10:04:07.223812
Mazda Mazda3 (2020),2020-10-02 10:04:07.224805
Audi A3 (2019),2019-07-16 10:04:07.225809
BMW i4 (2022),2024-01-22 10:04:07.226812
Hyundai Tucson (2020),2018-11-26 10:04:07.227805
Ford Kuga (2020),2019-03-12 10:04:07.228798
MG ZS EV (2022),2024-05-24 10:04:07.228798
Jeep Renegade (2021),2025-04-10 10:04:07.229804
Alfa Romeo Stelvio (2021),2021-04-23 10:04:07.230704
Jeep Compass (2020),2024-04-10 10:04:07.231702
Nissan Juke (2021),2021-07-27 10:04:07.231702
Opel Mokka (2021),2022-11-30 10:04:07.233311
Skoda Kodiaq (2019),2017-08-26 10:04:07.234423
Mercedes GLA (2020),2024-08-30 10:04:07.235425
Dacia Sandero (2022),2020-01-03 10:04:07.235425
Volvo XC60 (2015),2020-09-13 10:04:07.236427
Mazda Mazda3 (2020),2021-09-13 10:04:07.237425
Hyundai i30 (2016),2023-01-16 10:04:07.238427
Mercedes A-Class (2021),2017-02-14 10:04:07.239423
Jeep Compass (2020),2018-03-19 10:04:07.239423
Opel Astra (2017),2017-12-08 10:04:07.240421
Peugeot 2008 (2023),2021-01-08 10:04:07.242031
BMW X1 (2021),2017-07-17 10:04:07.242031
Mercedes EQC (2022),2023-01-16 10:04:07.243130
Toyota Corolla (2021),2017-08-05 10:04:07.244133
Suzuki Vitara (2020),2020-03-27 10:04:07.245133
Honda HR-V (2022),2020-07-23 10:04:07.245133
Kia Sportage (2018),2020-10-29 10:04:07.246277
Subaru Impreza (2019),2017-04-24 10:04:07.247388
Fiat 500X (2019),2025-04-02 10:04:07.248387
Skoda Kodiaq (2019),2017-12-02 10:04:07.249395
MG ZS EV (2022),2021-06-06 10:04:07.250395
Volkswagen Golf (2019),2016-09-18 10:04:07.250395
Mazda MX-5 (2019),2016-05-24 10:04:07.251392
Jaguar F-PACE (2021),2017-03-02 10:04:07.252392
Seat Arona (2022),2019-05-02 10:04:07.253384
Renault Zoe (2022),2015-07-30 10:04:07.254388
Suzuki Vitara (2020),2018-05-15 10:04:07.254998
Fiat 500e (2021),2023-02-23 10:04:07.256103
Volvo XC40 (2022),2020-07-24 10:04:07.256103
Mercedes C-Class (2019),2016-04-18 10:04:07.257106
BMW iX1 (2023),2017-08-20 10:04:07.258105
Lexus UX (2021),2020-11-22 10:04:07.259110
Ford Kuga (2020),2020-07-26 10:04:07.260106
Volvo XC40 (2022),2022-09-15 10:04:07.261112
Honda Civic (2015),2022-01-17 10:04:07.262014
Suzuki Vitara (2020),2017-08-18 10:04:07.263006
Smart EQ ForTwo (2022),2022-10-31 10:04:07.264006
Hyundai i30 (2016),2025-06-03 10:04:07.265053
Citroen C3 (2018),2025-06-15 10:04:07.266106
Mazda CX-5 (2019),2016-12-30 10:04:07.266106
Volvo XC40 (2022),2018-07-14 10:04:07.267103
Nissan Juke (2021),2021-06-13 10:04:07.268103
Seat Leon (2017),2023-11-07 10:04:07.269103
Toyota RAV4 (2019),2018-02-14 10:04:07.270010
Volvo XC40 (2022),2024-07-07 10:04:07.271006
Subaru Impreza (2019),2022-11-11 10:04:07.272006
Toyota Corolla (2021),2019-02-04 10:04:07.272006
Dacia Sandero (2022),2018-11-08 10:04:07.273347
Honda HR-V (2022),2024-09-26 10:04:07.274356
Cupra Born (2023),2017-01-20 10:04:07.275465
Peugeot 2008 (2023),2023-11-07 10:04:07.276459
Mercedes GLA (2020),2017-01-23 10:04:07.277459
Toyota Yaris (2023),2024-02-09 10:04:07.277459
Seat Arona (2022),2016-12-23 10:04:07.278453
Mini Cooper (2020),2020-03-16 10:04:07.279460
Tesla Model 3 (2022),2019-06-06 10:04:07.280465
Mazda MX-30 (2022),2020-09-19 10:04:07.281457
Kia Sportage (2018),2018-06-24 10:04:07.282456
Honda e (2021),2016-11-01 10:04:07.282456
Mazda Mazda3 (2020),2021-09-04 10:04:07.283471
Alfa Romeo Stelvio (2021),2024-03-04 10:04:07.284361
MG ZS EV (2022),2019-07-20 10:04:07.285459
BMW i4 (2022),2024-06-08 10:04:07.286465
BMW 5 Series (2017),2022-11-19 10:04:07.287457
BMW X1 (2021),2016-04-05 10:04:07.287457
BMW 5 Series (2017),2022-06-10 10:04:07.288459
Volkswagen Golf (2019),2024-02-02 10:04:07.289458
Audi A4 (2016),2019-09-16 10:04:07.290464
Audi Q5 (2014),2016-07-01 10:04:07.291457
Mercedes EQC (2022),2023-06-28 10:04:07.291457
Volkswagen Golf (2019),2024-10-03 10:04:07.292467
Mazda MX-30 (2022),2017-12-07 10:04:07.293361
Mercedes EQC (2022),2017-09-30 10:04:07.294358
Ford Focus (2018),2025-07-08 10:04:07.295459
Skoda Enyaq (2023),2024-08-25 10:04:07.296456
Mercedes EQC (2022),2016-04-13 10:04:07.297457
BMW 3 Series (2018),2017-12-24 10:04:07.297457
Mercedes GLA (2020),2018-02-27 10:04:07.298462
Mazda MX-30 (2022),2023-10-26 10:04:07.299471
Ford Puma (2023),2023-03-20 10:04:07.300458
Fiat 500X (2019),2021-03-05 10:04:07.301460
Opel Corsa (2020),2025-02-16 10:04:07.301460
Audi Q3 (2022),2025-04-14 10:04:07.302458
Ford Focus (2018),2019-02-04 10:04:07.303463
Opel Corsa (2020),2022-07-01 10:04:07.304458
Fiat 500e (2021),2019-03-23 10:04:07.305459
BMW 3 Series (2018),2020-10-29 10:04:07.306457
Fiat Panda (2020),2023-01-11 10:04:07.306457
Renault Clio (2020),2025-07-09 10:04:07.307468
Hyundai Tucson (2020),2018-02-28 10:04:07.308465
Nissan Leaf (2020),2016-10-24 10:04:07.309458
Renault Clio (2020),2019-12-16 10:04:07.310462
Skoda Enyaq (2023),2022-11-08 10:04:07.311461
Volvo XC60 (2015),2020-09-11 10:04:07.311461
Lexus NX (2023),2024-07-14 10:04:07.312458
Mazda Mazda3 (2020),2020-02-29 10:04:07.313460
Peugeot e-208 (2023),2018-06-05 10:04:07.314464
Renault Zoe (2022),2016-03-15 10:04:07.315464
BMW X1 (2021),2019-04-14 10:04:07.316459
MG ZS EV (2022),2023-01-16 10:04:07.316459
Mazda MX-30 (2022),2015-09-14 10:04:07.317460
Hyundai i30 (2016),2020-10-28 10:04:07.318457
Audi A4 (2016),2020-07-10 10:04:07.319466
Fiat Panda (2020),2017-01-17 10:04:07.320461
Suzuki Vitara (2020),2021-09-11 10:04:07.321460
Dacia Sandero (2022),2019-12-21 10:04:07.321460
Renault Megane (2021),2023-06-05 10:04:07.322465
Renault Megane (2021),2021-08-15 10:04:07.323464
Volkswagen ID.3 (2022),2016-12-27 10:04:07.324458
Audi A4 (2016),2017-05-09 10:04:07.325356
BMW 3 Series (2018),2016-04-21 10:04:07.326354
Toyota RAV4 (2019),2024-06-06 10:04:07.327358
Renault Megane (2021),2024-11-12 10:04:07.328359
Lexus NX (2023),2016-11-25 10:04:07.329359
Skoda Scala (2020),2023-05-13 10:04:07.330358
Mini Cooper (2020),2018-03-31 10:04:07.330358
Peugeot e-208 (2023),2016-04-08 10:04:07.331359
Mercedes EQC (2022),2019-11-30 10:04:07.332359
Toyota RAV4 (2019),2018-10-06 10:04:07.333358
Tesla Model 3 (2022),2016-07-23 10:04:07.334358
Volkswagen Golf (2019),2017-10-16 10:04:07.335358
Skoda Octavia (2019),2015-09-24 10:04:07.335358
Audi Q5 (2014),2018-12-13 10:04:07.336359
Toyota RAV4 (2019),2019-10-11 10:04:07.337359
Honda HR-V (2022),2017-09-11 10:04:07.338358
Mazda CX-5 (2019),2020-09-20 10:04:07.339358
Opel Astra (2017),2023-07-09 10:04:07.340358
Mercedes EQB (2023),2018-03-03 10:04:07.341360
Subaru Forester (2020),2023-11-18 10:04:07.341865
Peugeot e-208 (2023),2023-10-11 10:04:07.342871
Toyota Corolla (2021),2015-09-25 10:04:07.343870
Toyota Corolla (2021),2025-01-09 10:04:07.344871
Honda HR-V (2022),2021-12-25 10:04:07.345870
BMW 3 Series (2018),2017-12-12 10:04:07.346870
Toyota C-HR (2022),2022-05-10 10:04:07.347870
Volvo XC40 (2022),2023-09-09 10:04:07.348871
Mercedes EQC (2022),2025-02-10 10:04:07.349871
Mercedes EQB (2023),2017-09-14 10:04:07.350871
Mini Cooper (2020),2017-08-27 10:04:07.351871
Mini Cooper (2020),2022-07-05 10:04:07.352871
Seat Leon (2017),2018-02-18 10:04:07.353871
Nissan Leaf (2020),2021-08-26 10:04:07.354871
Audi A3 (2019),2022-09-02 10:04:07.355871
MG ZS EV (2022),2023-01-03 10:04:07.356871
Tesla Model 3 (2022),2019-03-20 10:04:07.357871
Audi Q5 (2014),2016-03-24 10:04:07.358871
Renault Megane (2021),2020-04-23 10:04:07.359871
